candidate,TP,SL,attemptedEntries,completedTrades,openAtSessionEnd,tpHits,slHits,winRate,avgHoldMs,tradesPerHour,grossPnlUsdt,feesUsdt,netPnlUsdt
A,1.5,0.2,1,0,1,0,0,0,0,0,0,0,0
A,1.5,0.25,1,0,1,0,0,0,0,0,0,0,0
A,1.5,0.3,1,0,1,0,0,0,0,0,0,0,0
A,1.5,0.5,1,0,1,0,0,0,0,0,0,0,0
A,1.5,0.75,1,0,1,0,0,0,0,0,0,0,0
A,1.5,1,1,0,1,0,0,0,0,0,0,0,0
A,1.5,1.5,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.08,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.1,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.12,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.15,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.2,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.25,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.3,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.5,1,0,1,0,0,0,0,0,0,0,0
B,0.1,0.75,1,0,1,0,0,0,0,0,0,0,0
B,0.1,1,1,0,1,0,0,0,0,0,0,0,0
B,0.1,1.5,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.08,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.1,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.12,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.15,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.2,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.25,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.3,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.5,1,0,1,0,0,0,0,0,0,0,0
B,0.15,0.75,1,0,1,0,0,0,0,0,0,0,0
B,0.15,1,1,0,1,0,0,0,0,0,0,0,0
B,0.15,1.5,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.08,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.1,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.12,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.15,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.2,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.25,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.3,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.5,1,0,1,0,0,0,0,0,0,0,0
B,0.2,0.75,1,0,1,0,0,0,0,0,0,0,0
B,0.2,1,1,0,1,0,0,0,0,0,0,0,0
B,0.2,1.5,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.08,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.1,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.12,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.15,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.2,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.25,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.3,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.5,1,0,1,0,0,0,0,0,0,0,0
B,0.25,0.75,1,0,1,0,0,0,0,0,0,0,0
B,0.25,1,1,0,1,0,0,0,0,0,0,0,0
B,0.25,1.5,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.08,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.1,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.12,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.15,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.2,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.25,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.3,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.5,1,0,1,0,0,0,0,0,0,0,0
B,0.3,0.75,1,0,1,0,0,0,0,0,0,0,0
B,0.3,1,1,0,1,0,0,0,0,0,0,0,0
B,0.3,1.5,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.08,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.1,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.12,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.15,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.2,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.25,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.3,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.5,1,0,1,0,0,0,0,0,0,0,0
B,0.5,0.75,1,0,1,0,0,0,0,0,0,0,0
B,0.5,1,1,0,1,0,0,0,0,0,0,0,0
B,0.5,1.5,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.08,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.1,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.12,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.15,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.2,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.25,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.3,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.5,1,0,1,0,0,0,0,0,0,0,0
B,0.75,0.75,1,0,1,0,0,0,0,0,0,0,0
B,0.75,1,1,0,1,0,0,0,0,0,0,0,0
B,0.75,1.5,1,0,1,0,0,0,0,0,0,0,0
B,1,0.08,1,0,1,0,0,0,0,0,0,0,0
B,1,0.1,1,0,1,0,0,0,0,0,0,0,0
B,1,0.12,1,0,1,0,0,0,0,0,0,0,0
B,1,0.15,1,0,1,0,0,0,0,0,0,0,0
B,1,0.2,1,0,1,0,0,0,0,0,0,0,0
B,1,0.25,1,0,1,0,0,0,0,0,0,0,0
B,1,0.3,1,0,1,0,0,0,0,0,0,0,0
B,1,0.5,1,0,1,0,0,0,0,0,0,0,0
B,1,0.75,1,0,1,0,0,0,0,0,0,0,0
B,1,1,1,0,1,0,0,0,0,0,0,0,0
B,1,1.5,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.08,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.1,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.12,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.15,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.2,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.25,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.3,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.5,1,0,1,0,0,0,0,0,0,0,0
B,1.5,0.75,1,0,1,0,0,0,0,0,0,0,0
B,1.5,1,1,0,1,0,0,0,0,0,0,0,0
B,1.5,1.5,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.08,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.1,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.12,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.15,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.2,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.25,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.3,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.5,1,0,1,0,0,0,0,0,0,0,0
C,0.1,0.75,1,0,1,0,0,0,0,0,0,0,0
C,0.1,1,1,0,1,0,0,0,0,0,0,0,0
C,0.1,1.5,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.08,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.1,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.12,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.15,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.2,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.25,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.3,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.5,1,0,1,0,0,0,0,0,0,0,0
C,0.15,0.75,1,0,1,0,0,0,0,0,0,0,0
C,0.15,1,1,0,1,0,0,0,0,0,0,0,0
C,0.15,1.5,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.08,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.1,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.12,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.15,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.2,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.25,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.3,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.5,1,0,1,0,0,0,0,0,0,0,0
C,0.2,0.75,1,0,1,0,0,0,0,0,0,0,0
C,0.2,1,1,0,1,0,0,0,0,0,0,0,0
C,0.2,1.5,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.08,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.1,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.12,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.15,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.2,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.25,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.3,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.5,1,0,1,0,0,0,0,0,0,0,0
C,0.25,0.75,1,0,1,0,0,0,0,0,0,0,0
C,0.25,1,1,0,1,0,0,0,0,0,0,0,0
C,0.25,1.5,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.08,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.1,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.12,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.15,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.2,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.25,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.3,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.5,1,0,1,0,0,0,0,0,0,0,0
C,0.3,0.75,1,0,1,0,0,0,0,0,0,0,0
C,0.3,1,1,0,1,0,0,0,0,0,0,0,0
C,0.3,1.5,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.08,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.1,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.12,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.15,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.2,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.25,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.3,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.5,1,0,1,0,0,0,0,0,0,0,0
C,0.5,0.75,1,0,1,0,0,0,0,0,0,0,0
C,0.5,1,1,0,1,0,0,0,0,0,0,0,0
C,0.5,1.5,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.08,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.1,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.12,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.15,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.2,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.25,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.3,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.5,1,0,1,0,0,0,0,0,0,0,0
C,0.75,0.75,1,0,1,0,0,0,0,0,0,0,0
C,0.75,1,1,0,1,0,0,0,0,0,0,0,0
C,0.75,1.5,1,0,1,0,0,0,0,0,0,0,0
C,1,0.08,1,0,1,0,0,0,0,0,0,0,0
C,1,0.1,1,0,1,0,0,0,0,0,0,0,0
C,1,0.12,1,0,1,0,0,0,0,0,0,0,0
C,1,0.15,1,0,1,0,0,0,0,0,0,0,0
C,1,0.2,1,0,1,0,0,0,0,0,0,0,0
C,1,0.25,1,0,1,0,0,0,0,0,0,0,0
C,1,0.3,1,0,1,0,0,0,0,0,0,0,0
C,1,0.5,1,0,1,0,0,0,0,0,0,0,0
C,1,0.75,1,0,1,0,0,0,0,0,0,0,0
C,1,1,1,0,1,0,0,0,0,0,0,0,0
C,1,1.5,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.08,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.1,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.12,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.15,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.2,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.25,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.3,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.5,1,0,1,0,0,0,0,0,0,0,0
C,1.5,0.75,1,0,1,0,0,0,0,0,0,0,0
C,1.5,1,1,0,1,0,0,0,0,0,0,0,0
C,1.5,1.5,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.08,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.1,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.12,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.15,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.2,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.25,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.3,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.5,1,0,1,0,0,0,0,0,0,0,0
D,0.1,0.75,1,0,1,0,0,0,0,0,0,0,0
D,0.1,1,1,0,1,0,0,0,0,0,0,0,0
D,0.1,1.5,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.08,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.1,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.12,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.15,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.2,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.25,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.3,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.5,1,0,1,0,0,0,0,0,0,0,0
D,0.15,0.75,1,0,1,0,0,0,0,0,0,0,0
D,0.15,1,1,0,1,0,0,0,0,0,0,0,0
D,0.15,1.5,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.08,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.1,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.12,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.15,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.2,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.25,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.3,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.5,1,0,1,0,0,0,0,0,0,0,0
D,0.2,0.75,1,0,1,0,0,0,0,0,0,0,0
D,0.2,1,1,0,1,0,0,0,0,0,0,0,0
D,0.2,1.5,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.08,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.1,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.12,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.15,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.2,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.25,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.3,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.5,1,0,1,0,0,0,0,0,0,0,0
D,0.25,0.75,1,0,1,0,0,0,0,0,0,0,0
D,0.25,1,1,0,1,0,0,0,0,0,0,0,0
D,0.25,1.5,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.08,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.1,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.12,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.15,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.2,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.25,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.3,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.5,1,0,1,0,0,0,0,0,0,0,0
D,0.3,0.75,1,0,1,0,0,0,0,0,0,0,0
D,0.3,1,1,0,1,0,0,0,0,0,0,0,0
D,0.3,1.5,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.08,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.1,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.12,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.15,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.2,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.25,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.3,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.5,1,0,1,0,0,0,0,0,0,0,0
D,0.5,0.75,1,0,1,0,0,0,0,0,0,0,0
D,0.5,1,1,0,1,0,0,0,0,0,0,0,0
D,0.5,1.5,1,0,1,0,0,0,0,0,0,0,0
D,0.75,0.08,1,0,1,0,0,0,0,0,0,0,0
D,0.75,0.1,1,0,1,0,0,0,0,0,0,0,0
D,0.75,0.12,1,0,1,0,0,0,0,0,0,0,0
