candidate,TP,SL,fee_pct,signal_ts,direction,entry,exit_ts,exit_price,reason,hold_ms,gross_pnl,fees,net_pnl
D,0.2,0.2,0.001,1789737107395,SHORT,105.62,1789737494555,105.86,SL,387160,-0.0336,0.0296,-0.0632
D,0.2,0.2,0.001,1789737126637,LONG,105.61,1789737494555,105.85,TP,367918,0.0336,0.0296,0.0040
D,0.2,0.2,0.001,1789737169664,LONG,105.61,1789737494555,105.85,TP,324891,0.0336,0.0296,0.0040
D,0.2,0.2,0.001,1789737173194,LONG,105.59,1789737494073,105.82,TP,320879,0.0322,0.0296,0.0026
D,0.2,0.2,0.001,1789737184910,LONG,105.6,1789737494073,105.82,TP,309163,0.0308,0.0296,0.0012
D,0.2,0.2,0.001,1789737187440,LONG,105.59,1789737494073,105.82,TP,306633,0.0322,0.0296,0.0026
D,0.2,0.2,0.001,1789737193502,LONG,105.6,1789737494073,105.82,TP,300571,0.0308,0.0296,0.0012
D,0.2,0.2,0.001,1789737195007,SHORT,105.58,1789737482425,105.8,SL,287418,-0.0308,0.0296,-0.0604
D,0.2,0.2,0.001,1789737199279,LONG,105.61,1789737494555,105.85,TP,295276,0.0336,0.0296,0.0040
D,0.2,0.2,0.001,1789737206609,SHORT,105.62,1789737494555,105.86,SL,287946,-0.0336,0.0296,-0.0632
D,0.2,0.2,0.001,1789737208112,SHORT,105.61,1789737494073,105.83,SL,285961,-0.0308,0.0296,-0.0604
D,0.2,0.2,0.001,1789737209644,SHORT,105.61,1789737494073,105.83,SL,284429,-0.0308,0.0296,-0.0604
D,0.2,0.25,0.001,1789736948296,SHORT,105.62,1789737515255,105.89,SL,566959,-0.0378,0.0296,-0.0674
D,0.2,0.25,0.001,1789736988436,LONG,105.64,1789737495061,105.86,TP,506625,0.0308,0.0296,0.0012
D,0.2,0.25,0.001,1789737002128,LONG,105.61,1789737494555,105.85,TP,492427,0.0336,0.0296,0.0040
D,0.2,0.25,0.001,1789737004165,SHORT,105.59,1789737494555,105.86,SL,490390,-0.0378,0.0296,-0.0674
D,0.2,0.25,0.001,1789737008174,LONG,105.61,1789737494555,105.85,TP,486381,0.0336,0.0296,0.0040
D,0.2,0.25,0.001,1789737018795,SHORT,105.61,1789737515255,105.89,SL,496460,-0.0392,0.0296,-0.0688
D,0.2,0.25,0.001,1789737030479,LONG,105.62,1789737494555,105.85,TP,464076,0.0322,0.0296,0.0026
D,0.2,0.25,0.001,1789737032494,LONG,105.64,1789737495061,105.86,TP,462567,0.0308,0.0296,0.0012
D,0.2,0.25,0.001,1789737034008,LONG,105.64,1789737495061,105.86,TP,461053,0.0308,0.0296,0.0012
D,0.2,0.25,0.001,1789737057793,LONG,105.62,1789737494555,105.85,TP,436762,0.0322,0.0296,0.0026
D,0.2,0.25,0.001,1789737059319,LONG,105.63,1789737494555,105.85,TP,435236,0.0308,0.0296,0.0012
D,0.2,0.25,0.001,1789737062867,SHORT,105.62,1789737515255,105.89,SL,452388,-0.0378,0.0296,-0.0674
D,0.2,0.25,0.001,1789737071973,SHORT,105.61,1789737515255,105.89,SL,443282,-0.0392,0.0296,-0.0688
D,0.2,0.25,0.001,1789737076027,LONG,105.6,1789737494073,105.82,TP,418046,0.0308,0.0296,0.0012
D,0.2,0.25,0.001,1789737107395,SHORT,105.62,1789737515255,105.89,SL,407860,-0.0378,0.0296,-0.0674
D,0.2,0.25,0.001,1789737126637,LONG,105.61,1789737494555,105.85,TP,367918,0.0336,0.0296,0.0040
D,0.2,0.25,0.001,1789737169664,LONG,105.61,1789737494555,105.85,TP,324891,0.0336,0.0296,0.0040
D,0.2,0.25,0.001,1789737173194,LONG,105.59,1789737494073,105.82,TP,320879,0.0322,0.0296,0.0026
D,0.2,0.25,0.001,1789737184910,LONG,105.6,1789737494073,105.82,TP,309163,0.0308,0.0296,0.0012
D,0.2,0.25,0.001,1789737187440,LONG,105.59,1789737494073,105.82,TP,306633,0.0322,0.0296,0.0026
D,0.2,0.25,0.001,1789737193502,LONG,105.6,1789737494073,105.82,TP,300571,0.0308,0.0296,0.0012
D,0.2,0.25,0.001,1789737195007,SHORT,105.58,1789737494555,105.86,SL,299548,-0.0392,0.0296,-0.0688
D,0.2,0.25,0.001,1789737199279,LONG,105.61,1789737494555,105.85,TP,295276,0.0336,0.0296,0.0040
D,0.2,0.25,0.001,1789737206609,SHORT,105.62,1789737515255,105.89,SL,308646,-0.0378,0.0296,-0.0674
D,0.2,0.25,0.001,1789737208112,SHORT,105.61,1789737515255,105.89,SL,307143,-0.0392,0.0296,-0.0688
D,0.2,0.3,0.001,1789736948296,SHORT,105.62,1789737607864,105.95,SL,659568,-0.0462,0.0296,-0.0758
D,0.2,0.3,0.001,1789736988436,LONG,105.64,1789737495061,105.86,TP,506625,0.0308,0.0296,0.0012
D,0.2,0.3,0.001,1789737002128,LONG,105.61,1789737494555,105.85,TP,492427,0.0336,0.0296,0.0040
D,0.2,0.3,0.001,1789737004165,SHORT,105.59,1789737558228,105.91,SL,554063,-0.0448,0.0296,-0.0744
D,0.2,0.3,0.001,1789737008174,LONG,105.61,1789737494555,105.85,TP,486381,0.0336,0.0296,0.0040
D,0.2,0.3,0.001,1789737018795,SHORT,105.61,1789737578521,105.93,SL,559726,-0.0448,0.0296,-0.0744
D,0.2,0.3,0.001,1789737030479,LONG,105.62,1789737494555,105.85,TP,464076,0.0322,0.0296,0.0026
D,0.2,0.3,0.001,1789737032494,LONG,105.64,1789737495061,105.86,TP,462567,0.0308,0.0296,0.0012
D,0.2,0.3,0.001,1789737034008,LONG,105.64,1789737495061,105.86,TP,461053,0.0308,0.0296,0.0012
D,0.2,0.3,0.001,1789737057793,LONG,105.62,1789737494555,105.85,TP,436762,0.0322,0.0296,0.0026
D,0.2,0.3,0.001,1789737059319,LONG,105.63,1789737494555,105.85,TP,435236,0.0308,0.0296,0.0012
D,0.2,0.3,0.001,1789737062867,SHORT,105.62,1789737607864,105.95,SL,544997,-0.0462,0.0296,-0.0758
D,0.2,0.3,0.001,1789737071973,SHORT,105.61,1789737578521,105.93,SL,506548,-0.0448,0.0296,-0.0744
D,0.2,0.3,0.001,1789737076027,LONG,105.6,1789737494073,105.82,TP,418046,0.0308,0.0296,0.0012
D,0.2,0.3,0.001,1789737107395,SHORT,105.62,1789737607864,105.95,SL,500469,-0.0462,0.0296,-0.0758
D,0.2,0.3,0.001,1789737126637,LONG,105.61,1789737494555,105.85,TP,367918,0.0336,0.0296,0.0040
D,0.2,0.3,0.001,1789737169664,LONG,105.61,1789737494555,105.85,TP,324891,0.0336,0.0296,0.0040
D,0.2,0.3,0.001,1789737173194,LONG,105.59,1789737494073,105.82,TP,320879,0.0322,0.0296,0.0026
D,0.2,0.3,0.001,1789737184910,LONG,105.6,1789737494073,105.82,TP,309163,0.0308,0.0296,0.0012
D,0.2,0.3,0.001,1789737187440,LONG,105.59,1789737494073,105.82,TP,306633,0.0322,0.0296,0.0026
D,0.2,0.3,0.001,1789737193502,LONG,105.6,1789737494073,105.82,TP,300571,0.0308,0.0296,0.0012
D,0.2,0.3,0.001,1789737195007,SHORT,105.58,1789737527858,105.9,SL,332851,-0.0448,0.0296,-0.0744
D,0.2,0.3,0.001,1789737199279,LONG,105.61,1789737494555,105.85,TP,295276,0.0336,0.0296,0.0040
D,0.2,0.3,0.001,1789737206609,SHORT,105.62,1789737607864,105.95,SL,401255,-0.0462,0.0296,-0.0758
D,0.2,0.5,0.001,1789736988436,LONG,105.64,1789737495061,105.86,TP,506625,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737002128,LONG,105.61,1789737494555,105.85,TP,492427,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737008174,LONG,105.61,1789737494555,105.85,TP,486381,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737030479,LONG,105.62,1789737494555,105.85,TP,464076,0.0322,0.0296,0.0026
D,0.2,0.5,0.001,1789737032494,LONG,105.64,1789737495061,105.86,TP,462567,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737034008,LONG,105.64,1789737495061,105.86,TP,461053,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737057793,LONG,105.62,1789737494555,105.85,TP,436762,0.0322,0.0296,0.0026
D,0.2,0.5,0.001,1789737059319,LONG,105.63,1789737494555,105.85,TP,435236,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737076027,LONG,105.6,1789737494073,105.82,TP,418046,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737126637,LONG,105.61,1789737494555,105.85,TP,367918,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737169664,LONG,105.61,1789737494555,105.85,TP,324891,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737173194,LONG,105.59,1789737494073,105.82,TP,320879,0.0322,0.0296,0.0026
D,0.2,0.5,0.001,1789737184910,LONG,105.6,1789737494073,105.82,TP,309163,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737187440,LONG,105.59,1789737494073,105.82,TP,306633,0.0322,0.0296,0.0026
D,0.2,0.5,0.001,1789737193502,LONG,105.6,1789737494073,105.82,TP,300571,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737199279,LONG,105.61,1789737494555,105.85,TP,295276,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737219262,LONG,105.61,1789737494555,105.85,TP,275293,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737244623,LONG,105.64,1789737495061,105.86,TP,250438,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737246635,LONG,105.64,1789737495061,105.86,TP,248426,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737247659,LONG,105.64,1789737495061,105.86,TP,247402,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737261415,LONG,105.63,1789737494555,105.85,TP,233140,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737265459,LONG,105.63,1789737494555,105.85,TP,229096,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737267498,LONG,105.64,1789737495061,105.86,TP,227563,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737269519,LONG,105.65,1789737515255,105.88,TP,245736,0.0322,0.0296,0.0026
D,0.2,0.5,0.001,1789737289864,LONG,105.63,1789737494555,105.85,TP,204691,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737308613,LONG,105.61,1789737494555,105.85,TP,185942,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737318204,LONG,105.62,1789737494555,105.85,TP,176351,0.0322,0.0296,0.0026
D,0.2,0.5,0.001,1789737332922,LONG,105.61,1789737494555,105.85,TP,161633,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737345587,LONG,105.61,1789737494555,105.85,TP,148968,0.0336,0.0296,0.0040
D,0.2,0.5,0.001,1789737360307,LONG,105.63,1789737494555,105.85,TP,134248,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737367913,LONG,105.64,1789737495061,105.86,TP,127148,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737373993,LONG,105.66,1789737515255,105.88,TP,141262,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737385716,LONG,105.73,1789737663466,105.95,TP,277750,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737387605,LONG,105.75,1789737691313,105.97,TP,303708,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737390622,LONG,105.78,1789737769743,106,TP,379121,0.0308,0.0296,0.0012
D,0.2,0.5,0.001,1789737438326,LONG,105.79,1789737773819,106.01,TP,335493,0.0308,0.0297,0.0011
D,0.2,0.5,0.001,1789737481889,LONG,105.79,1789737773819,106.01,TP,291930,0.0308,0.0297,0.0011
D,0.2,0.5,0.001,1789737493544,LONG,105.81,1789737778917,106.03,TP,285373,0.0308,0.0297,0.0011
D,0.25,0.1,0.001,1789736948296,SHORT,105.62,1789737385210,105.75,SL,436914,-0.0182,0.0296,-0.0478
D,0.25,0.1,0.001,1789736988436,LONG,105.64,1789737578521,105.92,TP,590085,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737002128,LONG,105.61,1789737515255,105.88,TP,513127,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737004165,SHORT,105.59,1789737385210,105.75,SL,381045,-0.0224,0.0296,-0.0520
D,0.25,0.1,0.001,1789737008174,LONG,105.61,1789737515255,105.88,TP,507081,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737018795,SHORT,105.61,1789737385210,105.75,SL,366415,-0.0196,0.0296,-0.0492
D,0.25,0.1,0.001,1789737030479,LONG,105.62,1789737527858,105.89,TP,497379,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737032494,LONG,105.64,1789737578521,105.92,TP,546027,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737034008,LONG,105.64,1789737578521,105.92,TP,544513,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737057793,LONG,105.62,1789737527858,105.89,TP,470065,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737059319,LONG,105.63,1789737558228,105.9,TP,498909,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737062867,SHORT,105.62,1789737385210,105.75,SL,322343,-0.0182,0.0296,-0.0478
D,0.25,0.1,0.001,1789737071973,SHORT,105.61,1789737385210,105.75,SL,313237,-0.0196,0.0296,-0.0492
D,0.25,0.1,0.001,1789737076027,LONG,105.6,1789737515255,105.88,TP,439228,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737107395,SHORT,105.62,1789737385210,105.75,SL,277815,-0.0182,0.0296,-0.0478
D,0.25,0.1,0.001,1789737126637,LONG,105.61,1789737515255,105.88,TP,388618,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737169664,LONG,105.61,1789737515255,105.88,TP,345591,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737173194,LONG,105.59,1789737495061,105.86,TP,321867,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737184910,LONG,105.6,1789737515255,105.88,TP,330345,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737187440,LONG,105.59,1789737495061,105.86,TP,307621,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737193502,LONG,105.6,1789737515255,105.88,TP,321753,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737195007,SHORT,105.58,1789737385210,105.75,SL,190203,-0.0238,0.0296,-0.0534
D,0.25,0.1,0.001,1789737199279,LONG,105.61,1789737515255,105.88,TP,315976,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737206609,SHORT,105.62,1789737385210,105.75,SL,178601,-0.0182,0.0296,-0.0478
D,0.25,0.1,0.001,1789737208112,SHORT,105.61,1789737385210,105.75,SL,177098,-0.0196,0.0296,-0.0492
D,0.25,0.1,0.001,1789737209644,SHORT,105.61,1789737385210,105.75,SL,175566,-0.0196,0.0296,-0.0492
D,0.25,0.1,0.001,1789737219262,LONG,105.61,1789737515255,105.88,TP,295993,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737244623,LONG,105.64,1789737578521,105.92,TP,333898,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737246635,LONG,105.64,1789737578521,105.92,TP,331886,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737247659,LONG,105.64,1789737578521,105.92,TP,330862,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737261415,LONG,105.63,1789737558228,105.9,TP,296813,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737265459,LONG,105.63,1789737558228,105.9,TP,292769,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737267498,LONG,105.64,1789737578521,105.92,TP,311023,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737269519,LONG,105.65,1789737578521,105.92,TP,309002,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737280709,SHORT,105.64,1789737385210,105.75,SL,104501,-0.0154,0.0296,-0.0450
D,0.25,0.1,0.001,1789737289864,LONG,105.63,1789737558228,105.9,TP,268364,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737299008,SHORT,105.61,1789737385210,105.75,SL,86202,-0.0196,0.0296,-0.0492
D,0.25,0.1,0.001,1789737308613,LONG,105.61,1789737515255,105.88,TP,206642,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737318204,LONG,105.62,1789737527858,105.89,TP,209654,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737332922,LONG,105.61,1789737515255,105.88,TP,182333,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737341003,SHORT,105.6,1789737385210,105.75,SL,44207,-0.0210,0.0296,-0.0506
D,0.25,0.1,0.001,1789737345587,LONG,105.61,1789737515255,105.88,TP,169668,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737360307,LONG,105.63,1789737558228,105.9,TP,197921,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737367913,LONG,105.64,1789737578521,105.92,TP,210608,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737373993,LONG,105.66,1789737607864,105.94,TP,233871,0.0392,0.0296,0.0096
D,0.25,0.1,0.001,1789737380029,SHORT,105.66,1789737388108,105.77,SL,8079,-0.0154,0.0296,-0.0450
D,0.25,0.1,0.001,1789737385716,LONG,105.73,1789737769743,106,TP,384027,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737387605,LONG,105.75,1789737777384,106.02,TP,389779,0.0378,0.0296,0.0082
D,0.25,0.1,0.001,1789737502102,SHORT,105.84,1789737607864,105.95,SL,105762,-0.0154,0.0297,-0.0451
D,0.25,0.1,0.001,1789737505134,SHORT,105.84,1789737607864,105.95,SL,102730,-0.0154,0.0297,-0.0451
D,0.25,0.1,0.001,1789737560759,SHORT,105.9,1789737769743,106.01,SL,208984,-0.0154,0.0297,-0.0451
D,0.25,0.1,0.001,1789737612396,SHORT,105.89,1789737726711,106,SL,114315,-0.0154,0.0297,-0.0451
D,0.25,0.15,0.001,1789736948296,SHORT,105.62,1789737390622,105.78,SL,442326,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789736988436,LONG,105.64,1789737578521,105.92,TP,590085,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737002128,LONG,105.61,1789737515255,105.88,TP,513127,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737004165,SHORT,105.59,1789737385210,105.75,SL,381045,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737008174,LONG,105.61,1789737515255,105.88,TP,507081,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737018795,SHORT,105.61,1789737388108,105.77,SL,369313,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737030479,LONG,105.62,1789737527858,105.89,TP,497379,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737032494,LONG,105.64,1789737578521,105.92,TP,546027,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737034008,LONG,105.64,1789737578521,105.92,TP,544513,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737057793,LONG,105.62,1789737527858,105.89,TP,470065,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737059319,LONG,105.63,1789737558228,105.9,TP,498909,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737062867,SHORT,105.62,1789737390622,105.78,SL,327755,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737071973,SHORT,105.61,1789737388108,105.77,SL,316135,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737076027,LONG,105.6,1789737515255,105.88,TP,439228,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737107395,SHORT,105.62,1789737390622,105.78,SL,283227,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737126637,LONG,105.61,1789737515255,105.88,TP,388618,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737169664,LONG,105.61,1789737515255,105.88,TP,345591,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737173194,LONG,105.59,1789737495061,105.86,TP,321867,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737184910,LONG,105.6,1789737515255,105.88,TP,330345,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737187440,LONG,105.59,1789737495061,105.86,TP,307621,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737193502,LONG,105.6,1789737515255,105.88,TP,321753,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737195007,SHORT,105.58,1789737385210,105.75,SL,190203,-0.0238,0.0296,-0.0534
D,0.25,0.15,0.001,1789737199279,LONG,105.61,1789737515255,105.88,TP,315976,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737206609,SHORT,105.62,1789737390622,105.78,SL,184013,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737208112,SHORT,105.61,1789737388108,105.77,SL,179996,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737209644,SHORT,105.61,1789737388108,105.77,SL,178464,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737219262,LONG,105.61,1789737515255,105.88,TP,295993,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737244623,LONG,105.64,1789737578521,105.92,TP,333898,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737246635,LONG,105.64,1789737578521,105.92,TP,331886,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737247659,LONG,105.64,1789737578521,105.92,TP,330862,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737261415,LONG,105.63,1789737558228,105.9,TP,296813,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737265459,LONG,105.63,1789737558228,105.9,TP,292769,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737267498,LONG,105.64,1789737578521,105.92,TP,311023,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737269519,LONG,105.65,1789737578521,105.92,TP,309002,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737280709,SHORT,105.64,1789737482425,105.8,SL,201716,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737289864,LONG,105.63,1789737558228,105.9,TP,268364,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737299008,SHORT,105.61,1789737388108,105.77,SL,89100,-0.0224,0.0296,-0.0520
D,0.25,0.15,0.001,1789737308613,LONG,105.61,1789737515255,105.88,TP,206642,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737318204,LONG,105.62,1789737527858,105.89,TP,209654,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737332922,LONG,105.61,1789737515255,105.88,TP,182333,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737341003,SHORT,105.6,1789737388108,105.77,SL,47105,-0.0238,0.0296,-0.0534
D,0.25,0.15,0.001,1789737345587,LONG,105.61,1789737515255,105.88,TP,169668,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737360307,LONG,105.63,1789737558228,105.9,TP,197921,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737367913,LONG,105.64,1789737578521,105.92,TP,210608,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737373993,LONG,105.66,1789737607864,105.94,TP,233871,0.0392,0.0296,0.0096
D,0.25,0.15,0.001,1789737380029,SHORT,105.66,1789737494073,105.83,SL,114044,-0.0238,0.0296,-0.0534
D,0.25,0.15,0.001,1789737385716,LONG,105.73,1789737769743,106,TP,384027,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737387605,LONG,105.75,1789737777384,106.02,TP,389779,0.0378,0.0296,0.0082
D,0.25,0.15,0.001,1789737502102,SHORT,105.84,1789737726711,106,SL,224609,-0.0224,0.0297,-0.0521
D,0.25,0.15,0.001,1789737505134,SHORT,105.84,1789737726711,106,SL,221577,-0.0224,0.0297,-0.0521
D,0.25,0.2,0.001,1789736948296,SHORT,105.62,1789737494555,105.86,SL,546259,-0.0336,0.0296,-0.0632
D,0.25,0.2,0.001,1789736988436,LONG,105.64,1789737578521,105.92,TP,590085,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737002128,LONG,105.61,1789737515255,105.88,TP,513127,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737004165,SHORT,105.59,1789737485445,105.81,SL,481280,-0.0308,0.0296,-0.0604
D,0.25,0.2,0.001,1789737008174,LONG,105.61,1789737515255,105.88,TP,507081,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737018795,SHORT,105.61,1789737494073,105.83,SL,475278,-0.0308,0.0296,-0.0604
D,0.25,0.2,0.001,1789737030479,LONG,105.62,1789737527858,105.89,TP,497379,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737032494,LONG,105.64,1789737578521,105.92,TP,546027,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737034008,LONG,105.64,1789737578521,105.92,TP,544513,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737057793,LONG,105.62,1789737527858,105.89,TP,470065,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737059319,LONG,105.63,1789737558228,105.9,TP,498909,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737062867,SHORT,105.62,1789737494555,105.86,SL,431688,-0.0336,0.0296,-0.0632
D,0.25,0.2,0.001,1789737071973,SHORT,105.61,1789737494073,105.83,SL,422100,-0.0308,0.0296,-0.0604
D,0.25,0.2,0.001,1789737076027,LONG,105.6,1789737515255,105.88,TP,439228,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737107395,SHORT,105.62,1789737494555,105.86,SL,387160,-0.0336,0.0296,-0.0632
D,0.25,0.2,0.001,1789737126637,LONG,105.61,1789737515255,105.88,TP,388618,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737169664,LONG,105.61,1789737515255,105.88,TP,345591,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737173194,LONG,105.59,1789737495061,105.86,TP,321867,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737184910,LONG,105.6,1789737515255,105.88,TP,330345,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737187440,LONG,105.59,1789737495061,105.86,TP,307621,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737193502,LONG,105.6,1789737515255,105.88,TP,321753,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737195007,SHORT,105.58,1789737482425,105.8,SL,287418,-0.0308,0.0296,-0.0604
D,0.25,0.2,0.001,1789737199279,LONG,105.61,1789737515255,105.88,TP,315976,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737206609,SHORT,105.62,1789737494555,105.86,SL,287946,-0.0336,0.0296,-0.0632
D,0.25,0.2,0.001,1789737208112,SHORT,105.61,1789737494073,105.83,SL,285961,-0.0308,0.0296,-0.0604
D,0.25,0.2,0.001,1789737209644,SHORT,105.61,1789737494073,105.83,SL,284429,-0.0308,0.0296,-0.0604
D,0.25,0.2,0.001,1789737219262,LONG,105.61,1789737515255,105.88,TP,295993,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737244623,LONG,105.64,1789737578521,105.92,TP,333898,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737246635,LONG,105.64,1789737578521,105.92,TP,331886,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737247659,LONG,105.64,1789737578521,105.92,TP,330862,0.0392,0.0296,0.0096
D,0.25,0.2,0.001,1789737261415,LONG,105.63,1789737558228,105.9,TP,296813,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737265459,LONG,105.63,1789737558228,105.9,TP,292769,0.0378,0.0296,0.0082
